cluster	cell_type	color	broad_cell_type	cluster_class	legacy_annotation_string
lc006	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc010	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc012	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc020	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc037	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc044	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc049	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc054	gastrodermis	wheat1	gastrodermis	leiden	gastrodermis(1.00)
lc018	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis	leiden	gastrodermis_muscle_parietal_circular_prog(1.00)
lc032	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis	leiden	gastrodermis_muscle_parietal_circular_prog(1.00)
lc035	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis	leiden	gastrodermis_muscle_parietal_circular_prog(1.00)
lc009	muscle	burlywood4	gastrodermis	leiden	muscle(1.00)
lc005	digestive_filaments	pink3	epidermis	leiden	digestive_filaments(1.00)
lc027	digestive_filaments	pink3	epidermis	leiden	digestive_filaments(1.00)
lc031	digestive_filaments	pink3	epidermis	leiden	digestive_filaments(1.00)
lc029	digestive_filaments_like	pink4	epidermis	leiden	digestive_filaments_like(1.00)
lc042	digestive_filaments_like	pink4	epidermis	leiden	digestive_filaments_like(1.00)
lc011	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc015	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc034	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc038	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc043	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc045	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc001	epidermis_like_1	cadetblue3	epidermis	leiden	epidermis_like_1(1.00)
lc004	epidermis_like_1	cadetblue3	epidermis	leiden	epidermis_like_1(1.00)
lc028	epidermis_like_2	cadetblue4	epidermis	leiden	epidermis_like_2(1.00)
lc025	neurosecretory_progenitors	slategray3	neurosecretory	leiden	neurosecretory_progenitors(1.00)
lc021	neuron_2_precursors	royalblue1	neurosecretory	leiden	neuron_2_precursors(1.00)
lc051	neuron_4	royalblue1	neurosecretory	leiden	neuron_4(1.00)
lc007	neuron_7	royalblue1	neurosecretory	leiden	neuron_7(1.00)
lc030	neuron_7	royalblue1	neurosecretory	leiden	neuron_7(1.00)
lc016	neuron_13	royalblue1	neurosecretory	leiden	neuron_13(1.00)
lc002	neuron_18	royalblue2	neurosecretory	leiden	neuron_18(1.00)
lc036	neuron_18	royalblue2	neurosecretory	leiden	neuron_18(1.00)
lc003	neuron_19	royalblue3	neurosecretory	leiden	neuron_19(1.00)
lc008	neuron_19	royalblue3	neurosecretory	leiden	neuron_19(1.00)
lc014	neuron_28_motor	royalblue4	neurosecretory	leiden	neuron_28_motor(1.00)
lc055	neuron_14_peptidergic	steelblue1	neurosecretory	leiden	neuron_14_peptidergic(1.00)
lc013	neuron_16_peptidergic	steelblue1	neurosecretory	leiden	neuron_16_peptidergic(1.00)
lc026	neuron_30_peptidergic	steelblue1	neurosecretory	leiden	neuron_30_peptidergic(1.00)
lc040	neuron_30_peptidergic	steelblue1	neurosecretory	leiden	neuron_30_peptidergic(1.00)
lc017	neuron_36_peptidergic	steelblue1	neurosecretory	leiden	neuron_36_peptidergic(1.00)
lc048	neuron_10_vasopressin	steelblue2	neurosecretory	leiden	neuron_10_vasopressin(1.00)
lc024	gland_1	sienna1	neurosecretory	leiden	gland_1(1.00)
lc033	gland_4	sienna2	neurosecretory	leiden	gland_4(1.00)
lc053	gland_4	sienna2	neurosecretory	leiden	gland_4(1.00)
lc046	gland_9	sienna3	neurosecretory	leiden	gland_9(1.00)
lc050	gland_13	sienna4	neurosecretory	leiden	gland_13(1.00)
lc022	gland_16	tan1	neurosecretory	leiden	gland_16(1.00)
lc041	gland_17	tan2	neurosecretory	leiden	gland_17(1.00)
lc019	gland_26	tan3	neurosecretory	leiden	gland_26(1.00)
lc023	cnidocyte_nematocytes	mediumorchid2	neurosecretory	leiden	cnidocyte_nematocytes(1.00)
lc039	cnidocyte_spirocytes	mediumorchid3	neurosecretory	leiden	cnidocyte_spirocytes(1.00)
lc047	gland_unknown_1	tan4	other	leiden	gland_unknown_1(1.00)
lc052	unknown	snow2	other	leiden	unknown(1.00)
